time, Quad1.PosFollowErr, Quad2.PosFollowErr, Quad3.PosFollowErr
0.005000,2.000000,2.000000,2.000000
0.010000,1.999999,1.999999,1.999999
0.015000,1.999992,1.999987,1.999987
0.020000,1.999977,1.999963,1.999963
0.025000,1.999926,1.999885,1.999883
0.030000,1.999863,1.999788,1.999783
0.035000,1.999706,1.999551,1.999535
0.040000,1.999547,1.999315,1.999287
0.045000,1.999213,1.998822,1.998761
0.050000,1.998917,1.998391,1.998294
0.055000,1.998358,1.997582,1.997404
0.060000,1.997906,1.996931,1.996675
0.065000,1.997105,1.995780,1.995368
0.070000,1.996486,1.994894,1.994349
0.075000,1.995425,1.993383,1.992593
0.080000,1.994626,1.992248,1.991267
0.085000,1.993285,1.990349,1.989041
0.090000,1.992292,1.988946,1.987400
0.095000,1.990650,1.986629,1.984699
0.100000,1.989451,1.984939,1.982738
0.105000,1.987494,1.982178,1.979550
0.110000,1.986082,1.980181,1.977256
0.115000,1.983799,1.976939,1.973553
0.120000,1.982164,1.974608,1.970903
0.125000,1.979537,1.970845,1.966648
0.130000,1.977666,1.968153,1.963621
0.135000,1.974673,1.963831,1.958783
0.140000,1.972549,1.960752,1.955352
0.145000,1.969167,1.955829,1.949891
0.150000,1.966778,1.952339,1.946034
0.155000,1.962988,1.946783,1.939911
0.160000,1.960320,1.942858,1.935599
0.165000,1.956103,1.936633,1.928784
0.170000,1.953144,1.932253,1.924005
0.175000,1.948486,1.925335,1.916481
0.180000,1.945231,1.920488,1.911226
0.185000,1.940124,1.912857,1.902985
0.190000,1.936566,1.907531,1.897250
0.195000,1.931000,1.899181,1.888283
0.200000,1.927134,1.893372,1.882059
0.205000,1.921102,1.884296,1.872355
0.210000,1.916923,1.878003,1.865638
0.215000,1.910418,1.868198,1.855192
0.220000,1.905924,1.861414,1.847978
0.225000,1.898945,1.850867,1.836783
0.230000,1.894134,1.843586,1.829069
0.235000,1.886678,1.832293,1.817122
0.240000,1.881547,1.824515,1.808909
0.245000,1.873610,1.812471,1.796219
0.250000,1.868157,1.804191,1.787511
0.255000,1.859736,1.791392,1.774078
0.260000,1.853959,1.782609,1.764874
0.265000,1.845048,1.769058,1.750695
0.270000,1.838943,1.759772,1.740994
0.275000,1.829542,1.745464,1.726071
0.280000,1.823112,1.735671,1.715874
0.285000,1.813218,1.720602,1.700207
0.290000,1.806458,1.710303,1.689513
0.295000,1.796070,1.694475,1.673097
0.300000,1.788979,1.683671,1.661900
0.305000,1.778095,1.667088,1.644727
0.310000,1.770673,1.655781,1.633023
0.314999,1.759292,1.638444,1.615089
0.319999,1.751540,1.626634,1.602881
0.324999,1.739664,1.608541,1.584192
0.329999,1.731584,1.596227,1.571478
0.334999,1.719218,1.577372,1.552019
0.339999,1.710812,1.564545,1.538785
0.344999,1.697959,1.544913,1.518535
0.349999,1.689228,1.531565,1.504773
0.354999,1.675887,1.511153,1.483741
0.359999,1.666831,1.497289,1.469470
0.364999,1.653003,1.476123,1.447708
0.369999,1.643621,1.461776,1.432973
0.374999,1.629304,1.439918,1.410554
0.379999,1.619596,1.425130,1.395411
0.384999,1.604791,1.402648,1.372425
0.389999,1.594760,1.387472,1.356936
0.394998,1.579473,1.364445,1.333483
0.399998,1.569123,1.348933,1.317716
0.404998,1.553356,1.325448,1.293895
0.409998,1.542685,1.309663,1.277915
0.414998,1.526439,1.285820,1.253822
0.419998,1.515448,1.269830,1.237692
0.424998,1.498723,1.245727,1.213418
0.429998,1.487414,1.229593,1.197194
0.434998,1.470211,1.205316,1.172819
0.439998,1.458582,1.189093,1.156554
0.444998,1.440900,1.164718,1.132154
0.449998,1.428954,1.148453,1.115895
0.454998,1.410799,1.124053,1.091534
0.459998,1.398541,1.107793,1.075321
0.464998,1.379924,1.083432,1.051054
0.469997,1.367363,1.067218,1.034919
0.474997,1.348303,1.042953,1.010795
0.479997,1.335455,1.026821,0.994771
0.484997,1.315976,1.002702,0.970835
0.489997,1.302858,0.986683,0.954950
0.494997,1.282994,0.962755,0.931244
0.499997,1.269631,0.946877,0.915526
0.504997,1.249419,0.923180,0.892093
0.509997,1.235837,0.907470,0.876572
0.514997,1.215317,0.884049,0.853454
0.519997,1.201544,0.868538,0.838157
0.524997,1.180757,0.845437,0.815393
0.529997,1.166820,0.830154,0.800344
