time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
0.005000,0.000015,0.000024,-0.000029,-0.000037,0.000000,0.000000
0.010000,0.000051,0.000052,-0.000416,-0.000332,0.000002,0.000002
0.015000,0.000092,0.000100,-0.001993,-0.002244,0.000003,0.000003
0.020000,0.000097,0.000105,-0.005902,-0.005355,-0.000001,-0.000000
0.025000,-0.000006,-0.000017,-0.013242,-0.014182,-0.000012,-0.000013
0.030000,-0.000201,-0.000173,-0.025104,-0.023660,-0.000024,-0.000023
0.035000,-0.000490,-0.000520,-0.042301,-0.044305,-0.000032,-0.000033
0.040000,-0.000833,-0.000797,-0.065338,-0.062731,-0.000030,-0.000032
0.045000,-0.001141,-0.001167,-0.094536,-0.097773,-0.000011,-0.000008
0.050000,-0.001433,-0.001400,-0.129854,-0.126042,0.000033,0.000027
0.055000,-0.001716,-0.001738,-0.170646,-0.174980,0.000102,0.000109
0.060000,-0.001981,-0.001952,-0.215603,-0.210979,0.000195,0.000184
0.065000,-0.002162,-0.002168,-0.263069,-0.267922,0.000310,0.000321
0.070000,-0.002218,-0.002211,-0.311314,-0.306551,0.000440,0.000425
0.075000,-0.002219,-0.002214,-0.358788,-0.363512,0.000586,0.000599
0.080000,-0.002249,-0.002235,-0.404219,-0.399880,0.000740,0.000722
0.085000,-0.002363,-0.002372,-0.446758,-0.450935,0.000900,0.000914
0.090000,-0.002542,-0.002516,-0.485980,-0.482321,0.001065,0.001046
0.095000,-0.002753,-0.002769,-0.521868,-0.525404,0.001239,0.001253
0.100000,-0.002976,-0.002948,-0.554547,-0.551552,0.001420,0.001398
0.105000,-0.003178,-0.003191,-0.584320,-0.587304,0.001607,0.001623
0.110000,-0.003355,-0.003333,-0.611610,-0.609138,0.001803,0.001779
0.115000,-0.003518,-0.003529,-0.636802,-0.639387,0.002001,0.002017
0.120000,-0.003699,-0.003674,-0.660209,-0.658117,0.002196,0.002173
0.125000,-0.003931,-0.003951,-0.682151,-0.684466,0.002387,0.002402
0.130000,-0.004168,-0.004140,-0.702879,-0.701055,0.002578,0.002555
0.135000,-0.004370,-0.004382,-0.722557,-0.724678,0.002771,0.002786
0.140000,-0.004484,-0.004471,-0.741240,-0.739634,0.002958,0.002936
0.145000,-0.004535,-0.004534,-0.758897,-0.760830,0.003140,0.003154
0.150000,-0.004493,-0.004500,-0.775157,-0.773868,0.003312,0.003291
0.155000,-0.004391,-0.004381,-0.788783,-0.790202,0.003465,0.003475
0.160000,-0.004225,-0.004327,-0.798093,-0.797684,0.003586,0.003572
0.165000,-0.004005,-0.004248,-0.801405,-0.801647,0.003671,0.003673
0.170000,-0.003750,-0.004167,-0.797290,-0.798380,0.003718,0.003710
0.175000,-0.003497,-0.004043,-0.784558,-0.783098,0.003728,0.003712
0.180000,-0.003288,-0.003992,-0.762325,-0.765328,0.003698,0.003673
0.185000,-0.003113,-0.003941,-0.730001,-0.726546,0.003634,0.003556
0.190000,-0.002887,-0.003860,-0.687299,-0.692392,0.003540,0.003442
0.195000,-0.002583,-0.003634,-0.634218,-0.628712,0.003428,0.003228
0.200000,-0.002226,-0.003425,-0.571038,-0.578163,0.003311,0.003067
0.205000,-0.001859,-0.002927,-0.498680,-0.491377,0.003205,0.002825
0.210000,-0.001497,-0.002604,-0.418959,-0.427568,0.003119,0.002679
0.215000,-0.001147,-0.002144,-0.334409,-0.326167,0.003059,0.002493
0.220000,-0.000873,-0.001904,-0.247690,-0.256765,0.003021,0.002389
0.225000,-0.000655,-0.001624,-0.161044,-0.152827,0.002999,0.002256
0.230000,-0.000498,-0.001491,-0.076128,-0.084881,0.002990,0.002182
0.235000,-0.000336,-0.001294,0.005961,0.013608,0.002996,0.002093
0.240000,-0.000158,-0.001155,0.084520,0.076461,0.003020,0.002051
0.245000,0.000032,-0.000937,0.159250,0.166141,0.003063,0.002013
0.250000,0.000261,-0.000766,0.230087,0.222815,0.003122,0.002003
0.255000,0.000594,-0.000388,0.297111,0.303260,0.003202,0.002015
0.260000,0.001041,-0.000047,0.360527,0.353998,0.003308,0.002045
0.265000,0.001604,0.000596,0.420600,0.426105,0.003448,0.002130
0.270000,0.002236,0.001080,0.477625,0.471732,0.003622,0.002215
0.275000,0.002893,0.001830,0.531848,0.536818,0.003832,0.002384
0.280000,0.003589,0.002358,0.583449,0.578108,0.004081,0.002527
0.285000,0.004245,0.003097,0.632479,0.636958,0.004367,0.002785
0.290000,0.004793,0.003502,0.678848,0.674067,0.004680,0.002979
0.295000,0.005209,0.003946,0.722363,0.726290,0.005013,0.003291
0.300000,0.005521,0.004153,0.762712,0.758582,0.005355,0.003506
0.305000,0.005861,0.004501,0.799625,0.802882,0.005698,0.003832
0.310000,0.006270,0.004790,0.832801,0.829433,0.006038,0.004050
0.314999,0.006715,0.005266,0.862008,0.864488,0.006367,0.004367
0.319999,0.007191,0.005614,0.887168,0.884620,0.006683,0.004573
0.324999,0.007668,0.006137,0.908378,0.910083,0.006982,0.004867
0.329999,0.008135,0.006486,0.925879,0.924080,0.007260,0.005053
0.334999,0.008563,0.007040,0.940056,0.941102,0.007513,0.005311
0.339999,0.008907,0.007415,0.951282,0.950080,0.007738,0.005467
0.344999,0.009121,0.007836,0.959890,0.960419,0.007936,0.005679
0.349999,0.009209,0.008016,0.966210,0.965474,0.008105,0.005803
0.354999,0.009263,0.008258,0.970517,0.970649,0.008233,0.005947
0.359999,0.009312,0.008421,0.973105,0.972716,0.008322,0.006014
0.364999,0.009282,0.008568,0.974328,0.974191,0.008382,0.006084
0.369999,0.009176,0.008605,0.974417,0.974262,0.008414,0.006109
0.374999,0.009112,0.008716,0.973525,0.973201,0.008425,0.006124
0.379999,0.009166,0.008884,0.971900,0.971905,0.008417,0.006118
0.384999,0.009346,0.009286,0.969503,0.969027,0.008390,0.006086
0.389999,0.009573,0.009592,0.965972,0.966213,0.008343,0.006049
0.394998,0.009749,0.009986,0.960846,0.960056,0.008265,0.005955
0.399998,0.009816,0.010161,0.953577,0.954250,0.008149,0.005859
0.404998,0.009799,0.010319,0.943683,0.942375,0.007991,0.005661
0.409998,0.009624,0.010293,0.930798,0.932072,0.007782,0.005483
0.414998,0.009311,0.010085,0.914798,0.912877,0.007524,0.005153
0.419998,0.008876,0.009846,0.895693,0.897593,0.007227,0.004893
0.424998,0.008295,0.009306,0.873729,0.871250,0.006906,0.004469
0.429998,0.007640,0.008880,0.849278,0.851687,0.006582,0.004177
0.434998,0.006993,0.008246,0.822755,0.819875,0.006266,0.003741
0.439998,0.006367,0.007838,0.794490,0.797265,0.005969,0.003459
0.444998,0.005718,0.007182,0.764793,0.761644,0.005697,0.003061
0.449998,0.005062,0.006636,0.733938,0.736964,0.005456,0.002817
0.454998,0.004485,0.005899,0.702210,0.698907,0.005243,0.002485
0.459998,0.004014,0.005492,0.669843,0.673019,0.005053,0.002285
0.464998,0.003665,0.005031,0.637020,0.633649,0.004884,0.002012
0.469997,0.003440,0.004826,0.603884,0.607148,0.004728,0.001843
0.474997,0.003301,0.004625,0.570523,0.567132,0.004583,0.001603
0.479997,0.003210,0.004531,0.536955,0.540289,0.004444,0.001450
0.484997,0.003095,0.004362,0.503149,0.499738,0.004309,0.001228
0.489997,0.002911,0.004196,0.469033,0.472458,0.004179,0.001085
0.494997,0.002656,0.003865,0.434494,0.431029,0.004057,0.000881
0.499997,0.002342,0.003598,0.399496,0.403039,0.003946,0.000754
0.504997,0.002031,0.003205,0.364117,0.360604,0.003848,0.000581
0.509997,0.001781,0.002992,0.328457,0.332085,0.003763,0.000476
0.514997,0.001598,0.002755,0.292634,0.289114,0.003687,0.000332
0.519997,0.001459,0.002634,0.256774,0.260435,0.003621,0.000245
0.524997,0.001387,0.002536,0.220943,0.217451,0.003564,0.000125
0.529997,0.001366,0.002515,0.185170,0.188840,0.003513,0.000051
0.534997,0.001379,0.002524,0.149523,0.146075,0.003463,-0.000059
0.539997,0.001475,0.002598,0.114112,0.117753,0.003410,-0.000134
0.544997,0.001581,0.002723,0.078958,0.075575,0.003351,-0.000252
0.549996,0.001711,0.002825,0.044084,0.047676,0.003286,-0.000336
0.554996,0.001827,0.002963,0.009593,0.006290,0.003218,-0.000464
0.559996,0.001871,0.002998,-0.024486,-0.020973,0.003154,-0.000546
0.564996,0.001829,0.002949,-0.058070,-0.061274,0.003096,-0.000661
0.569996,0.001702,0.002848,-0.091056,-0.087668,0.003050,-0.000728
0.574996,0.001471,0.002574,-0.123325,-0.126395,0.003018,-0.000810
0.579996,0.001084,0.002268,-0.154779,-0.151563,0.003001,-0.000852
0.584996,0.000578,0.001669,-0.185340,-0.188243,0.003003,-0.000892
0.589996,0.000015,0.001222,-0.214916,-0.211911,0.003028,-0.000900
0.594996,-0.000591,0.000504,-0.243468,-0.246182,0.003075,-0.000884
0.599996,-0.001233,-0.000004,-0.270919,-0.268150,0.003145,-0.000855
0.604996,-0.001834,-0.000716,-0.297244,-0.299753,0.003232,-0.000788
0.609996,-0.002410,-0.001170,-0.322401,-0.319887,0.003336,-0.000730
0.614996,-0.002957,-0.001813,-0.346407,-0.348708,0.003448,-0.000632
0.619996,-0.003452,-0.002203,-0.369279,-0.367016,0.003569,-0.000559
0.624996,-0.003867,-0.002689,-0.391000,-0.393095,0.003696,-0.000440
0.629995,-0.004186,-0.002936,-0.411493,-0.409500,0.003822,-0.000362
0.634995,-0.004436,-0.003223,-0.430713,-0.432578,0.003948,-0.000241
0.639995,-0.004620,-0.003361,-0.448599,-0.446900,0.004078,-0.000157
0.644995,-0.004763,-0.003522,-0.465041,-0.466644,0.004209,-0.000027
0.649995,-0.004858,-0.003589,-0.479992,-0.478617,0.004339,0.000061
0.654995,-0.004886,-0.003612,-0.493424,-0.494753,0.004462,0.000185
0.659995,-0.004821,-0.003551,-0.505346,-0.504301,0.004570,0.000258
0.664995,-0.004734,-0.003438,-0.515756,-0.516809,0.004658,0.000345
0.669995,-0.004679,-0.003390,-0.524665,-0.523946,0.004728,0.000390
0.674995,-0.004672,-0.003377,-0.532069,-0.532844,0.004785,0.000446
0.679995,-0.004725,-0.003416,-0.537924,-0.537538,0.004835,0.000478
0.684995,-0.004821,-0.003527,-0.542264,-0.542761,0.004877,0.000521
0.689995,-0.004938,-0.003620,-0.545069,-0.545014,0.004913,0.000546
0.694995,-0.005095,-0.003807,-0.546424,-0.546657,0.004938,0.000574
0.699995,-0.005316,-0.003986,-0.546482,-0.546713,0.004945,0.000579
0.704994,-0.005551,-0.004269,-0.545335,-0.545352,0.004931,0.000565
0.709994,-0.005707,-0.004395,-0.543001,-0.543495,0.004899,0.000542
0.714994,-0.005751,-0.004454,-0.539541,-0.539360,0.004851,0.000490
0.719994,-0.005739,-0.004448,-0.535029,-0.535758,0.004785,0.000443
0.724994,-0.005656,-0.004353,-0.529556,-0.529206,0.004705,0.000357
0.729994,-0.005429,-0.004177,-0.523143,-0.524083,0.004617,0.000294
0.734994,-0.005069,-0.003752,-0.515844,-0.515340,0.004525,0.000197
0.739994,-0.004682,-0.003445,-0.507632,-0.508781,0.004434,0.000134
0.744994,-0.004372,-0.003081,-0.498490,-0.497825,0.004344,0.000042
0.749994,-0.004162,-0.002919,-0.488420,-0.489780,0.004256,-0.000017
0.754994,-0.004042,-0.002784,-0.477450,-0.476633,0.004166,-0.000106
0.759994,-0.003978,-0.002738,-0.465581,-0.467145,0.004074,-0.000166
0.764994,-0.003988,-0.002759,-0.452893,-0.451934,0.003981,-0.000258
0.769994,-0.004028,-0.002797,-0.439444,-0.441183,0.003884,-0.000320
0.774994,-0.004058,-0.002841,-0.425338,-0.424272,0.003781,-0.000421
0.779994,-0.004016,-0.002814,-0.410630,-0.412516,0.003674,-0.000491
0.784993,-0.003905,-0.002688,-0.395404,-0.394260,0.003563,-0.000600
0.789993,-0.003706,-0.002534,-0.379678,-0.381687,0.003450,-0.000675
0.794993,-0.003443,-0.002228,-0.363503,-0.362293,0.003339,-0.000783
0.799993,-0.003094,-0.001954,-0.346903,-0.349022,0.003231,-0.000852
0.804993,-0.002681,-0.001468,-0.329937,-0.328679,0.003129,-0.000950
0.809993,-0.002244,-0.001122,-0.312679,-0.314882,0.003034,-0.001009
0.814993,-0.001868,-0.000677,-0.295175,-0.293894,0.002945,-0.001090
0.819993,-0.001540,-0.000419,-0.277504,-0.279768,0.002864,-0.001138
0.824993,-0.001229,-0.000052,-0.259663,-0.258372,0.002794,-0.001197
0.829993,-0.000929,0.000185,-0.241716,-0.244023,0.002728,-0.001232
0.834993,-0.000676,0.000481,-0.223717,-0.222438,0.002662,-0.001286
0.839993,-0.000457,0.000652,-0.205690,-0.208025,0.002597,-0.001322
0.844993,-0.000208,0.000946,-0.187614,-0.186344,0.002533,-0.001374
0.849993,0.000054,0.001153,-0.169469,-0.171836,0.002470,-0.001407
0.854993,0.000278,0.001417,-0.151251,-0.149986,0.002411,-0.001453
0.859993,0.000412,0.001519,-0.133053,-0.135431,0.002353,-0.001484
0.864992,0.000477,0.001595,-0.114975,-0.113746,0.002293,-0.001531
0.869992,0.000500,0.001610,-0.097055,-0.099414,0.002234,-0.001562
0.874992,0.000506,0.001616,-0.079323,-0.078142,0.002175,-0.001610
0.879992,0.000493,0.001602,-0.061809,-0.064134,0.002112,-0.001644
0.884992,0.000473,0.001579,-0.044485,-0.043351,0.002045,-0.001702
0.889992,0.000447,0.001556,-0.027392,-0.029675,0.001974,-0.001743
0.894992,0.000405,0.001506,-0.010593,-0.009518,0.001899,-0.001811
0.899992,0.000344,0.001456,0.005885,0.003665,0.001816,-0.001863
0.904992,0.000260,0.001352,0.021988,0.022988,0.001727,-0.001948
0.909992,-0.000158,0.001034,0.037694,0.035556,0.001635,-0.002007
0.914992,-0.001782,-0.000930,0.052970,0.053891,0.001528,-0.002116
0.919992,-0.005657,-0.004008,0.067842,0.065794,0.001378,-0.002222
0.924992,-0.012985,-0.012818,0.082228,0.083063,0.001139,-0.002492
0.929992,-0.024849,-0.022296,0.096183,0.094228,0.000757,-0.002784
0.934992,-0.042045,-0.042943,0.109791,0.110563,0.000171,-0.003472
0.939991,-0.065227,-0.061482,0.123002,0.121136,-0.000691,-0.004149
0.944991,-0.094790,-0.096962,0.135784,0.136482,-0.001891,-0.005574
0.949991,-0.130686,-0.125695,0.148094,0.146340,-0.003485,-0.006838
0.954991,-0.172296,-0.175612,0.159863,0.160472,-0.005500,-0.009241
0.959991,-0.218297,-0.212450,0.171031,0.169415,-0.007941,-0.011185
0.964991,-0.266927,-0.270793,0.181518,0.182011,-0.010774,-0.014569
0.969991,-0.316450,-0.310450,0.191287,0.189837,-0.013945,-0.017099
0.974991,-0.365275,-0.369041,0.200341,0.200717,-0.017394,-0.021225
0.979991,-0.412193,-0.406604,0.208740,0.207446,-0.021074,-0.024162
0.984991,-0.456368,-0.459630,0.216515,0.216792,-0.024922,-0.028768
0.989991,-0.497338,-0.492426,0.223691,0.222542,-0.028866,-0.031917
0.994991,-0.534886,-0.537509,0.230294,0.230482,-0.032844,-0.036682
