time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.005000,0.000000,-0.000025,0.000010
0.010000,0.000000,-0.000149,0.000009
0.015000,-0.000000,-0.000684,0.000010
0.020000,-0.000001,-0.001308,-0.000002
0.025000,-0.000004,-0.002650,-0.000045
0.030000,-0.000004,-0.003811,-0.000065
0.035000,-0.000002,-0.005812,-0.000103
0.040000,0.000001,-0.007211,-0.000112
0.045000,0.000007,-0.009244,-0.000112
0.050000,0.000013,-0.010423,-0.000114
0.055000,0.000022,-0.011771,-0.000116
0.060000,0.000027,-0.012320,-0.000112
0.065000,0.000034,-0.012613,-0.000071
0.070000,0.000038,-0.012455,-0.000040
0.075000,0.000043,-0.011794,-0.000020
0.080000,0.000043,-0.011124,-0.000022
0.085000,0.000043,-0.009905,-0.000040
0.090000,0.000042,-0.009038,-0.000043
0.095000,0.000042,-0.007763,-0.000042
0.100000,0.000041,-0.006957,-0.000035
0.105000,0.000039,-0.005886,-0.000022
0.110000,0.000038,-0.005288,-0.000013
0.115000,0.000035,-0.004541,-0.000011
0.120000,0.000031,-0.004148,-0.000016
0.125000,0.000028,-0.003728,-0.000034
0.130000,0.000026,-0.003537,-0.000031
0.135000,0.000024,-0.003370,-0.000012
0.140000,0.000022,-0.003306,0.000005
0.145000,0.000020,-0.003255,0.000029
0.150000,0.000019,-0.003235,0.000055
0.155000,0.000016,-0.003061,0.000071
0.160000,0.000012,-0.002640,0.000091
0.165000,0.000007,-0.001408,0.000104
0.170000,0.000004,-0.000197,0.000109
0.175000,-0.000002,0.002165,0.000098
0.180000,-0.000005,0.004051,0.000014
0.185000,-0.000013,0.007254,-0.000177
0.190000,-0.000023,0.009554,-0.000281
0.195000,-0.000047,0.013143,-0.000425
0.200000,-0.000070,0.015538,-0.000463
0.205000,-0.000107,0.018890,-0.000445
0.210000,-0.000133,0.020814,-0.000434
0.215000,-0.000175,0.022866,-0.000441
0.220000,-0.000206,0.023556,-0.000458
0.225000,-0.000255,0.023664,-0.000483
0.230000,-0.000288,0.023217,-0.000497
0.235000,-0.000336,0.021944,-0.000500
0.240000,-0.000366,0.020790,-0.000507
0.245000,-0.000410,0.018812,-0.000515
0.250000,-0.000438,0.017397,-0.000510
0.255000,-0.000475,0.015225,-0.000488
0.260000,-0.000497,0.013773,-0.000479
0.265000,-0.000527,0.011634,-0.000467
0.270000,-0.000546,0.010265,-0.000476
0.275000,-0.000572,0.008330,-0.000488
0.280000,-0.000588,0.007147,-0.000495
0.285000,-0.000608,0.005550,-0.000528
0.290000,-0.000621,0.004648,-0.000556
0.295000,-0.000638,0.003576,-0.000601
0.300000,-0.000647,0.003040,-0.000615
0.305000,-0.000661,0.002504,-0.000593
0.310000,-0.000669,0.002288,-0.000575
0.314999,-0.000678,0.002123,-0.000559
0.319999,-0.000683,0.002116,-0.000552
0.324999,-0.000689,0.002212,-0.000549
0.329999,-0.000692,0.002325,-0.000549
0.334999,-0.000698,0.002548,-0.000561
0.339999,-0.000702,0.002689,-0.000579
0.344999,-0.000709,0.002839,-0.000622
0.349999,-0.000715,0.002890,-0.000650
0.354999,-0.000726,0.002857,-0.000665
0.359999,-0.000735,0.002783,-0.000676
0.364999,-0.000747,0.002623,-0.000712
0.369999,-0.000755,0.002462,-0.000726
0.374999,-0.000766,0.002171,-0.000694
0.379999,-0.000773,0.001981,-0.000661
0.384999,-0.000781,0.001683,-0.000620
0.389999,-0.000785,0.001509,-0.000615
0.394998,-0.000790,0.001304,-0.000637
0.399998,-0.000792,0.001193,-0.000651
0.404998,-0.000797,0.001060,-0.000666
0.409998,-0.000801,0.000984,-0.000692
0.414998,-0.000808,0.000925,-0.000714
0.419998,-0.000812,0.000899,-0.000736
0.424998,-0.000818,0.000841,-0.000774
0.429998,-0.000820,0.000714,-0.000781
0.434998,-0.000823,0.000310,-0.000767
0.439998,-0.000825,-0.000124,-0.000773
0.444998,-0.000827,-0.000979,-0.000797
0.449998,-0.000825,-0.001665,-0.000804
0.454998,-0.000821,-0.002792,-0.000791
0.459998,-0.000815,-0.003566,-0.000782
0.464998,-0.000802,-0.004678,-0.000746
0.469997,-0.000792,-0.005355,-0.000720
0.474997,-0.000773,-0.006234,-0.000692
0.479997,-0.000759,-0.006720,-0.000687
0.484997,-0.000736,-0.007285,-0.000687
0.489997,-0.000719,-0.007565,-0.000699
0.494997,-0.000693,-0.007863,-0.000699
0.499997,-0.000675,-0.007960,-0.000698
0.504997,-0.000650,-0.007944,-0.000658
0.509997,-0.000634,-0.007857,-0.000630
0.514997,-0.000612,-0.007638,-0.000590
0.519997,-0.000597,-0.007453,-0.000566
0.524997,-0.000577,-0.007176,-0.000527
0.529997,-0.000566,-0.007006,-0.000513
0.534997,-0.000551,-0.006772,-0.000484
0.539997,-0.000542,-0.006626,-0.000467
0.544997,-0.000530,-0.006475,-0.000455
0.549996,-0.000522,-0.006399,-0.000448
0.554996,-0.000508,-0.006312,-0.000443
0.559996,-0.000498,-0.006279,-0.000457
0.564996,-0.000484,-0.006238,-0.000485
0.569996,-0.000473,-0.006210,-0.000505
0.574996,-0.000456,-0.006141,-0.000555
0.579996,-0.000445,-0.006079,-0.000602
0.584996,-0.000427,-0.005960,-0.000649
0.589996,-0.000415,-0.005861,-0.000671
0.594996,-0.000397,-0.005693,-0.000704
0.599996,-0.000385,-0.005560,-0.000712
0.604996,-0.000368,-0.005352,-0.000709
0.609996,-0.000358,-0.005205,-0.000706
0.614996,-0.000344,-0.004994,-0.000695
0.619996,-0.000335,-0.004860,-0.000681
0.624996,-0.000324,-0.004660,-0.000647
0.629995,-0.000317,-0.004509,-0.000618
0.634995,-0.000307,-0.004295,-0.000582
0.639995,-0.000299,-0.004140,-0.000555
0.644995,-0.000289,-0.003882,-0.000527
0.649995,-0.000284,-0.003711,-0.000503
0.654995,-0.000279,-0.003450,-0.000464
0.659995,-0.000277,-0.003279,-0.000439
0.664995,-0.000275,-0.003021,-0.000432
0.669995,-0.000274,-0.002851,-0.000443
0.674995,-0.000270,-0.002577,-0.000461
0.679995,-0.000267,-0.002386,-0.000481
0.684995,-0.000262,-0.002101,-0.000502
0.689995,-0.000259,-0.001901,-0.000515
0.694995,-0.000257,-0.001635,-0.000544
0.699995,-0.000257,-0.001490,-0.000575
0.704994,-0.000257,-0.001277,-0.000582
0.709994,-0.000257,-0.001136,-0.000568
0.714994,-0.000257,-0.000943,-0.000546
0.719994,-0.000258,-0.000829,-0.000544
0.724994,-0.000257,-0.000680,-0.000516
0.729994,-0.000257,-0.000583,-0.000480
0.734994,-0.000255,-0.000446,-0.000435
0.739994,-0.000253,-0.000337,-0.000440
0.744994,-0.000251,-0.000170,-0.000463
0.749994,-0.000250,-0.000055,-0.000484
0.754994,-0.000249,0.000126,-0.000507
0.759994,-0.000249,0.000254,-0.000520
0.764994,-0.000248,0.000427,-0.000548
0.769994,-0.000249,0.000531,-0.000554
0.774994,-0.000251,0.000669,-0.000549
0.779994,-0.000252,0.000752,-0.000539
0.784993,-0.000255,0.000859,-0.000515
0.789993,-0.000256,0.000938,-0.000498
0.794993,-0.000258,0.001035,-0.000473
0.799993,-0.000259,0.001102,-0.000454
0.804993,-0.000261,0.001173,-0.000428
0.809993,-0.000262,0.001209,-0.000425
0.814993,-0.000264,0.001249,-0.000444
0.819993,-0.000264,0.001262,-0.000447
0.824993,-0.000264,0.001293,-0.000446
0.829993,-0.000267,0.001295,-0.000447
0.834993,-0.000270,0.001298,-0.000467
0.839993,-0.000273,0.001301,-0.000470
0.844993,-0.000276,0.001329,-0.000457
0.849993,-0.000278,0.001359,-0.000461
0.854993,-0.000281,0.001408,-0.000484
0.859993,-0.000283,0.001424,-0.000513
0.864992,-0.000286,0.001427,-0.000535
0.869992,-0.000288,0.001435,-0.000547
0.874992,-0.000291,0.001434,-0.000556
0.879992,-0.000294,0.001441,-0.000563
0.884992,-0.000298,0.001462,-0.000566
0.889992,-0.000301,0.001472,-0.000573
0.894992,-0.000306,0.001472,-0.000578
0.899992,-0.000309,0.001467,-0.000586
0.904992,-0.000313,0.001453,-0.000597
0.909992,-0.000315,0.001443,-0.000719
0.914992,-0.000320,0.001426,-0.001210
0.919992,-0.000327,0.001408,-0.001789
0.924992,-0.000343,0.001347,-0.003098
0.929992,-0.000357,0.001323,-0.004216
0.934992,-0.000387,0.001299,-0.006178
0.939991,-0.000413,0.001265,-0.007589
0.944991,-0.000457,0.001196,-0.009656
0.949991,-0.000487,0.001141,-0.010858
0.954991,-0.000532,0.001060,-0.012249
0.959991,-0.000559,0.001003,-0.012817
0.964991,-0.000590,0.000901,-0.013115
0.969991,-0.000606,0.000837,-0.012979
0.974991,-0.000622,0.000742,-0.012349
0.979991,-0.000633,0.000695,-0.011721
0.984991,-0.000647,0.000637,-0.010592
0.989991,-0.000655,0.000607,-0.009770
0.994991,-0.000671,0.000579,-0.008521
0.999991,-0.000686,0.000574,-0.007717
1.004991,-0.000707,0.000573,-0.006620
1.009991,-0.000718,0.000566,-0.005978
1.014991,-0.000722,0.000539,-0.005211
1.019992,-0.000719,0.000516,-0.004817
1.024992,-0.000715,0.000490,-0.004381
1.029992,-0.000704,0.000459,-0.004189
1.034992,-0.000687,0.000415,-0.004013
1.039993,-0.000675,0.000389,-0.003953
